,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mehamn,71.0357,27.8492,47.1,77,84,6.6,NO,1590602400
1,Bulgan,48.8125,103.5347,49.95,84,100,11.39,MN,1590602400
2,Tasiilaq,65.6145,-37.6368,38.89,71,66,3.44,GL,1590602400
3,Cape Town,-33.9258,18.4232,58.48,70,83,16.58,ZA,1590602400
4,Avarua,-21.2078,-159.775,74.68,77,17,6.73,CK,1590602400
5,Busselton,-33.65,115.3333,60.24,81,11,11.12,AU,1590602400
6,Albany,42.6001,-73.9662,83.19,55,18,9.17,US,1590602400
7,Rikitea,-23.1203,-134.9692,75.76,82,0,10.11,PF,1590602400
8,San Quintín,30.4833,-115.95,73.29,64,0,11.32,MX,1590602400
9,Pangnirtung,66.1451,-65.7125,28.92,83,79,6.22,CA,1590602400
10,Takoradze,4.8845,-1.7554,81.1,85,100,12.35,GH,1590602400
11,George Town,5.4112,100.3354,82.18,81,59,3.58,MY,1590602400
12,Puerto Ayora,-0.7393,-90.3518,76.87,75,67,10.31,EC,1590602400
13,Rome,43.2128,-75.4557,82.63,65,26,6.33,US,1590602400
14,Buala,-8.145,159.5921,81.1,80,38,7.99,SB,1590602400
15,Embu,-23.6489,-46.8522,68.41,41,0,4.07,BR,1590602400
16,Kapaa,22.0752,-159.319,75.33,79,69,10.87,US,1590602400
17,Athabasca,54.7169,-113.2854,52.16,67,75,14.72,CA,1590602400
18,Ushuaia,-54.8,-68.3,40.17,73,97,5.57,AR,1590602400
19,Marabu,4.4148,114.0089,80.73,89,87,3.51,MY,1590602400
20,Guane,22.2025,-84.0875,89.02,61,76,9.98,CU,1590602400
21,Cabo San Lucas,22.8909,-109.9124,76.95,54,5,6.42,MX,1590602400
22,Iquitos,-3.7481,-73.2472,84.22,77,83,2.59,PE,1590602400
23,Saint Paul Harbor,57.79,-152.4072,45.43,86,68,7.7,US,1590602400
24,Lompoc,34.6391,-120.4579,78.67,66,1,4.81,US,1590602400
25,Khovu-Aksy,51.1333,93.6,36.1,78,63,5.53,RU,1590602400
26,Atuona,-9.8,-139.0333,80.55,73,21,7.63,PF,1590602400
27,Lashio,22.9333,97.75,66.34,98,75,0.74,MM,1590602400
28,Saint-Philippe,-21.3585,55.7679,73.76,76,32,10.83,RE,1590602400
29,Bykovo,55.6361,38.0803,59.05,68,95,4.52,RU,1590602400
30,Faanui,-16.4833,-151.75,80.76,80,6,10.94,PF,1590602400
31,Tiksi,71.6872,128.8694,27.03,96,100,5.61,RU,1590602400
32,Praia,14.9215,-23.5087,83.57,46,12,12.86,CV,1590602400
33,Ponta Delgada,37.7333,-25.6667,68.65,69,50,9.71,PT,1590602400
34,Torquay,50.4638,-3.5143,66.96,64,10,4.34,GB,1590602400
35,Chapais,49.7834,-74.8492,89.22,50,1,13.47,CA,1590602400
36,Montana,43.4125,23.225,54.52,44,68,4.25,BG,1590602400
37,Mangochi,-14.4782,35.2645,75.22,65,28,1.52,MW,1590602400
38,Hermanus,-34.4187,19.2345,59.13,68,38,19.6,ZA,1590602400
39,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.96,93,87,11.36,RU,1590602400
40,Leningradskiy,69.3833,178.4167,34.36,89,98,4.52,RU,1590602400
41,Ridgecrest,35.6225,-117.6709,93.18,20,1,3.31,US,1590602400
42,Sawākin,19.1059,37.3321,88.9,43,0,2.55,SD,1590602400
43,Ostrovnoy,68.0531,39.5131,49.21,74,15,6.62,RU,1590602400
44,Caravelas,-17.7125,-39.2481,79.38,57,0,7.92,BR,1590602400
45,Mataura,-46.1927,168.8643,37.26,93,0,2.06,NZ,1590602400
46,Butaritari,3.0707,172.7902,81.28,77,91,8.1,KI,1590602400
47,Longyearbyen,78.2186,15.6401,40.42,82,74,5.28,SJ,1590602400
48,Hong Kong,22.2855,114.1577,80.51,85,27,14.72,HK,1590602400
49,Mayna,54.1135,47.6231,55.29,87,40,5.91,RU,1590602400
50,Srednekolymsk,67.45,153.6833,48.56,49,0,15.82,RU,1590602400
51,Saskylakh,71.9167,114.0833,29.62,91,80,12.46,RU,1590602400
52,Hilo,19.7297,-155.09,75.24,73,94,2.53,US,1590602400
53,Marsh Harbour,26.5412,-77.0636,80.87,82,70,12.37,BS,1590602400
54,Ribeira Grande,38.5167,-28.7,65.28,71,21,17.25,PT,1590602400
55,Lagoa,39.05,-27.9833,61.81,79,5,18.79,PT,1590602400
56,Souillac,-20.5167,57.5167,74.86,82,30,13.65,MU,1590602400
57,Uauá,-9.8414,-39.4817,85.55,53,83,6.38,BR,1590602400
58,Tlacotepec (San Mateo),20.0667,-97.8667,76.95,74,74,5.12,MX,1590602400
59,Coreaú,-3.5333,-40.6567,84.04,67,15,1.72,BR,1590602400
60,Mar del Plata,-38.0023,-57.5575,61.92,72,0,12.57,AR,1590602400
61,Parit Buntar,5.1267,100.4932,80.82,86,69,2.73,MY,1590602400
62,Jamestown,42.097,-79.2353,77.38,65,49,10.54,US,1590602400
63,Inuvik,68.3499,-133.7218,52.05,61,60,6.46,CA,1590602400
64,Cherskiy,68.75,161.3,45.36,56,0,15.03,RU,1590602400
65,Kavieng,-2.5744,150.7967,83.17,73,91,6.33,PG,1590602400
66,Hay River,60.8156,-115.7999,43.61,65,50,5.64,CA,1590602400
67,Romitan,39.9343,64.3814,95.43,16,0,16.51,UZ,1590602400
68,Port Alfred,-33.5906,26.891,55.83,60,36,13.65,ZA,1590602400
69,Codrington,-38.2667,141.9667,50.04,94,79,8.19,AU,1590602400
70,Shenjiamen,29.9576,122.298,67.28,82,61,9.71,CN,1590602400
71,Beringovskiy,63.05,179.3167,34.39,97,100,5.73,RU,1590602400
72,Bredasdorp,-34.5322,20.0403,57.92,53,48,11.59,ZA,1590602400
73,Vanimo,-2.6741,141.3028,79.65,84,85,4.61,PG,1590602400
74,Tuktoyaktuk,69.4541,-133.0374,36.45,90,61,9.8,CA,1590602400
75,Nikolskoye,59.7035,30.7861,61.97,52,45,3.36,RU,1590602400
76,Robertsport,6.7533,-11.3686,82.15,76,86,8.95,LR,1590602400
77,Talnakh,69.4865,88.3972,37.51,82,87,1.32,RU,1590602400
78,Arraial do Cabo,-22.9661,-42.0278,73.44,61,24,23.31,BR,1590602400
79,Punta Arenas,-53.15,-70.9167,43.93,81,95,12.33,CL,1590602400
80,Carovigno,40.708,17.655,66.22,63,0,23.4,IT,1590602400
81,Jacksonville,30.3322,-81.6556,87.55,62,50,5.12,US,1590602400
82,Aklavik,68.2191,-135.0107,49.51,71,74,2.82,CA,1590602400
83,Yellowknife,62.456,-114.3525,47.28,54,22,5.03,CA,1590602400
84,Inírida,3.8653,-67.9239,83.21,80,99,2.62,CO,1590602400
85,Nelson Bay,-32.7167,152.15,57.31,96,45,8.57,AU,1590602400
86,Hithadhoo,-0.6,73.0833,84.02,76,14,9.82,MV,1590602400
87,Dunedin,-45.8742,170.5036,44.46,85,13,4.47,NZ,1590602400
88,Narsaq,60.9167,-46.05,42.04,72,81,10.63,GL,1590602400
89,Pathein,16.7833,94.7333,84.99,77,5,6.15,MM,1590602400
90,Abhā,18.2164,42.5053,72.82,50,82,5.23,SA,1590602400
91,Itarema,-2.9248,-39.9167,84.07,72,7,10.09,BR,1590602400
92,Orangeburg,33.4918,-80.8557,76.35,80,95,12.41,US,1590602400
93,New Norfolk,-42.7826,147.0587,46.72,82,66,2.51,AU,1590602400
94,Mossamedes,-15.1961,12.1522,75.78,73,13,4.21,AO,1590602400
95,Oranjemund,-28.55,16.4333,57.6,63,1,13.69,NA,1590602400
96,Magnor,59.9511,12.1996,60.6,48,12,3.56,SE,1590602400
97,East London,-33.0153,27.9116,60.64,38,60,12.84,ZA,1590602400
98,Benidorm,38.5382,-0.131,72.54,59,20,17.54,ES,1590602400
99,Togur,58.3631,82.8265,45.9,67,33,5.86,RU,1590602400
100,Dikson,73.5069,80.5464,31.33,99,100,7.02,RU,1590602400
101,Lavrentiya,65.5833,-171.0,33.33,94,100,12.15,RU,1590602400
102,Birjand,32.8663,59.2211,78.1,20,4,21.45,IR,1590602400
103,Merauke,-8.4667,140.3333,77.5,88,28,13.06,ID,1590602400
104,Norman Wells,65.282,-126.8329,54.14,66,61,6.93,CA,1590602400
105,San Vicente de Cañete,-13.0751,-76.3835,70.61,68,11,6.82,PE,1590602400
